geneName,Panel,Group
ABAT,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ABCD1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ACADM,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ACADVL,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ACAT1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ACBD5,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ACOX1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ACTB,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ADAR,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ADAT3,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ADCY5,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ADD3,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ADNP,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ADSL,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AFG3L2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AGAP1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AHDC1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AHI1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AKT3,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ALDH18A1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ALDH3A2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ALDH5A1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ALDH7A1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ALG13,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ALG3,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ALS2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AMACR,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AMPD2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AMT,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ANO3,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AP4B1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AP4E1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AP4M1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AP4S1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AP5Z1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
APTX,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ARG1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ARHGEF9,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ARID2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ARL6IP1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ARSA,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ARX,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ASL,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ASNS,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ASPA,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ASS1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ASXL1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ASXL3,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ATAD1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ATL1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ATM,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ATP13A2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ATP1A3,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ATP7A,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ATP7B,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ATP8A2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
ATRX,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AUH,PanelApp_Baylor_Invitae_Intersection_Risk,Control
AUTS2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
B4GALNT1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
BCAP31,PanelApp_Baylor_Invitae_Intersection_Risk,Control
BCKDHA,PanelApp_Baylor_Invitae_Intersection_Risk,Control
BCKDHB,PanelApp_Baylor_Invitae_Intersection_Risk,Control
BCL11A,PanelApp_Baylor_Invitae_Intersection_Risk,Control
BICD2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
BSCL2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
BTD,PanelApp_Baylor_Invitae_Intersection_Risk,Control
C12orf65,PanelApp_Baylor_Invitae_Intersection_Risk,Control
C19orf12,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CACNA1A,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CACNA1G,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CAMTA1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CAPN1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CASK,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CBS,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CCDC88C,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CCT5,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CDKL5,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CEP290,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CHD8,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CHRNA1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CIZ1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CLN2 (TPP1),PanelApp_Baylor_Invitae_Intersection_Risk,Control
CLN3,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CLN5,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CLN6,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CLN8,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CLTC,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COASY,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COL4A1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COL4A2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COL6A3,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COQ2,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COQ4,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COQ6,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COQ7,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COQ8A,PanelApp_Baylor_Invitae_Intersection_Risk,Control
COQ9,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CPS1,PanelApp_Baylor_Invitae_Intersection_Risk,Control
CPT1C,PanelApp_Baylor_Invitae_Intersection_Risk,Control
