MutTable_Hydro_GeneName	pLI	mis_z
MED13	1.00E+00	2.62E+00
NIPBL	1.00E+00	5.57E+00
SMC3	1.00E+00	6.40E+00
CNOT1	1.00E+00	7.25E+00
RLF	1.00E+00	3.46E+00
PCF11	1.00E+00	2.66E+00
FNDC3B	1.00E+00	1.87E+00
TAF1	1.00E+00	5.49E+00
RSF1	1.00E+00	1.77E+00
NCKAP1	1.00E+00	4.27E+00
KDM2A	1.00E+00	5.31E+00
BRD4	1.00E+00	3.59E+00
HELZ	1.00E+00	3.30E+00
FBN1	1.00E+00	5.06E+00
XPO1	1.00E+00	6.01E+00
PRR12	1.00E+00	2.98E+00
USP9X	1.00E+00	6.41E+00
POLA1	1.00E+00	1.99E+00
SYNGAP1	1.00E+00	5.60E+00
PRKDC	1.00E+00	2.76E+00
HDAC4	1.00E+00	2.93E+00
SMG1	1.00E+00	3.30E+00
ZC3H4	1.00E+00	6.56E-01
COL5A1	1.00E+00	2.07E+00
SMARCA4	1.00E+00	6.85E+00
TNPO1	1.00E+00	4.33E+00
AGO1	1.00E+00	5.68E+00
ARHGAP35	1.00E+00	4.16E+00
LRP1	1.00E+00	8.25E+00
TOP1	1.00E+00	4.47E+00
TRIP12	1.00E+00	4.64E+00
KMT2E	1.00E+00	1.42E+00
HCFC1	1.00E+00	5.63E+00
UBTF	1.00E+00	4.75E+00
HUWE1	1.00E+00	8.87E+00
KDM3B	1.00E+00	4.98E+00
TRRAP	1.00E+00	8.17E+00
GRIN2B	1.00E+00	5.42E+00
USP7	1.00E+00	5.65E+00
ATP1A3	1.00E+00	6.33E+00
ASH1L	1.00E+00	3.47E+00
ANKRD17	1.00E+00	5.36E+00
SMC1A	1.00E+00	6.45E+00
NPEPPS	1.00E+00	3.98E+00
CHERP	1.00E+00	4.25E+00
MED13L	1.00E+00	3.69E+00
RPRD2	1.00E+00	2.12E+00
KMT2A	1.00E+00	6.23E+00
CREBBP	1.00E+00	3.90E+00
SF3B1	1.00E+00	7.70E+00
EIF3B	1.00E+00	1.82E+00
PPFIA1	1.00E+00	1.06E+00
ZSWIM6	1.00E+00	4.18E+00
PRPF3	1.00E+00	3.85E+00
KAT6A	1.00E+00	2.07E+00
KMT2B	1.00E+00	3.43E+00
SIN3A	1.00E+00	4.39E+00
CHD2	1.00E+00	5.21E+00
ARID1A	1.00E+00	3.66E+00
BICRAL	1.00E+00	1.97E+00
SCN1A	1.00E+00	5.22E+00
MED12	1.00E+00	6.58E+00
TJP1	1.00E+00	1.54E+00
SPEN	1.00E+00	2.89E+00
WDFY3	1.00E+00	5.82E+00
HDAC6	1.00E+00	3.29E+00
EHMT1	1.00E+00	1.16E+00
JMJD1C	1.00E+00	1.51E+00
MAP3K12	1.00E+00	2.99E+00
GGNBP2	1.00E+00	3.26E+00
CASK	1.00E+00	4.25E+00
TLE3	1.00E+00	3.72E+00
CHD6	1.00E+00	4.00E+00
UBR5	1.00E+00	6.21E+00
EIF4G1	1.00E+00	2.22E+00
NBEA	1.00E+00	5.51E+00
SMARCA5	1.00E+00	5.42E+00
TSC2	1.00E+00	-3.30E-01
SUPT5H	1.00E+00	4.56E+00
GREB1L	1.00E+00	5.37E+00
PTCH1	1.00E+00	1.68E+00
CHD7	1.00E+00	3.22E+00
RAD54L2	1.00E+00	3.13E+00
CNOT3	1.00E+00	3.76E+00
AHDC1	1.00E+00	2.86E+00
U2SURP	1.00E+00	4.09E+00
RBM25	1.00E+00	4.31E+00
GIGYF2	1.00E+00	2.24E+00
MBTD1	1.00E+00	3.45E+00
DCAF5	1.00E+00	2.88E+00
KMT5B	1.00E+00	2.79E+00
RABGAP1	1.00E+00	2.96E+00
KHSRP	1.00E+00	3.83E+00
TM9SF2	1.00E+00	3.27E+00
MATR3	1.00E+00	2.73E+00
PHF21A	1.00E+00	2.86E+00
NAV1	1.00E+00	4.15E+00
HIVEP2	1.00E+00	1.83E+00
OGT	1.00E+00	5.67E+00
RBBP6	1.00E+00	1.49E+00
GTPBP4	1.00E+00	7.79E-02
MYBL1	1.00E+00	2.13E+00
TEX11	1.00E+00	1.81E+00
DYNC1H1	1.00E+00	1.10E+01
SBNO1	1.00E+00	3.36E+00
THOC2	1.00E+00	5.53E+00
PRKCB	1.00E+00	3.99E+00
INO80	1.00E+00	3.53E+00
TAF4	1.00E+00	2.68E+00
FLNA	1.00E+00	3.78E+00
TRIM28	1.00E+00	2.33E+00
CHD8	1.00E+00	5.95E+00
RBM33	1.00E+00	1.80E+00
SNRNP200	1.00E+00	5.94E+00
XPO6	1.00E+00	3.48E+00
SMARCAD1	1.00E+00	3.49E+00
FRMPD4	1.00E+00	1.95E+00
MACF1	1.00E+00	3.43E+00
WAC	1.00E+00	1.51E+00
BRWD3	1.00E+00	4.27E+00
MEIOC	1.00E+00	1.83E+00
ATP2B1	1.00E+00	5.29E+00
EIF4G2	1.00E+00	2.98E+00
ZNF462	1.00E+00	3.35E+00
WDR26	1.00E+00	3.58E+00
CUL4B	1.00E+00	3.77E+00
TRIM33	1.00E+00	4.49E+00
STXBP1	1.00E+00	4.26E+00
TOPBP1	1.00E+00	1.97E+00
NF2	1.00E+00	2.29E+00
TET3	1.00E+00	2.88E+00
MN1	1.00E+00	2.16E+00
SUPT6H	1.00E+00	5.14E+00
NHS	1.00E+00	1.82E+00
RPS6KA3	1.00E+00	4.52E+00
MYT1L	1.00E+00	4.77E+00
UBP1	1.00E+00	2.99E+00
PLCL2	1.00E+00	3.33E+00
SPTBN1	1.00E+00	4.54E+00
MYH9	1.00E+00	3.47E+00
ZDHHC5	1.00E+00	1.85E+00
LUC7L3	1.00E+00	2.58E+00
COPB2	1.00E+00	2.56E+00
DNAJC14	1.00E+00	1.57E+00
RNF17	1.00E+00	1.77E+00
ANK3	1.00E+00	2.79E+00
F8	1.00E+00	2.47E+00
TM9SF3	1.00E+00	3.51E+00
DLG3	1.00E+00	2.88E+00
MGA	1.00E+00	1.10E+00
ANKRD52	1.00E+00	4.49E+00
STAG2	1.00E+00	4.94E+00
SATB2	1.00E+00	4.05E+00
USP34	1.00E+00	2.34E+00
MAP3K2	1.00E+00	2.31E+00
PREX1	1.00E+00	3.70E+00
MED14	1.00E+00	4.13E+00
CYFIP2	1.00E+00	6.01E+00
ZNF407	1.00E+00	8.59E-01
KPNB1	1.00E+00	5.93E+00
ETV5	1.00E+00	1.99E+00
CUL2	1.00E+00	3.25E+00
HNRNPM	1.00E+00	2.74E+00
PIAS1	1.00E+00	2.72E+00
DAAM2	1.00E+00	1.27E+00
EFTUD2	1.00E+00	4.03E+00
YTHDC1	1.00E+00	2.48E+00
NCBP1	1.00E+00	3.52E+00
TCF20	1.00E+00	8.95E-02
DLL1	1.00E+00	1.82E+00
UBR4	1.00E+00	5.68E+00
STAT3	1.00E+00	4.99E+00
IGF2BP3	1.00E+00	2.12E+00
NSD1	1.00E+00	3.41E+00
SRCAP	1.00E+00	2.13E+00
ZNF777	1.00E+00	3.09E+00
HNRNPK	1.00E+00	3.99E+00
SCAF8	1.00E+00	1.90E+00
ARID2	1.00E+00	2.73E+00
CCT3	1.00E+00	1.16E+00
COL5A2	1.00E+00	2.44E+00
PHC3	1.00E+00	1.72E+00
GATAD2B	1.00E+00	3.16E+00
