gene	gene_name_mut_table
ABLIM1	ABLIM1
ACTA2	ACTA2
ACTR1A	ACTR1A
ADD3	ADD3
ANK3	ANK3
ARHGAP21	ARHGAP21
ARID5B	ARID5B
ATRNL1	ATRNL1
BMI1	BMI1
BMPR1A	BMPR1A
BTAF1	BTAF1
CACUL1	CACUL1
CAMK1D	CAMK1D
CAMK2G	CAMK2G
CCAR1	CCAR1
CCNJ	CCNJ
CDK1	CDK1
CELF2	CELF2
CHUK	CHUK
CNNM2	CNNM2
CPEB3	CPEB3
CUL2	CUL2
DDX21	DDX21
DIP2C	DIP2C
DLG5	DLG5
EBF3	EBF3
EIF3A	EIF3A
EMX2	EMX2
EPC1	EPC1
FAM160B1	FAM160B1
FAM171A1	FAM171A1
FAM196A	FAM196A
FGFR2	FGFR2
FRMD4A	FRMD4A
GRID1	GRID1
GTPBP4	GTPBP4
H2AFY2	H2AFY2
HECTD2	HECTD2
HELLS	HELLS
HERC4	HERC4
HK1	HK1
HMX3	HMX3
HNRNPF	HNRNPF
HNRNPH3	HNRNPH3
HSPA12A	HSPA12A
INPP5A	INPP5A
IPMK	IPMK
ITGB1	ITGB1
JMJD1C	JMJD1C
KAT6B	KAT6B
KCNMA1	KCNMA1
KIF11	KIF11
KIF5B	KIF5B
KLF6	KLF6
LARP4B	LARP4B
C10orf12	LCOR
LDB1	LDB1
LGI1	LGI1
LRRTM3	LRRTM3
MAP3K8	MAP3K8
MAPK8	MAPK8
MCMBP	MCMBP
MGEA5	MGEA5
MLLT10	MLLT10
MRC1	MRC1
MTPAP	MTPAP
NFKB2	NFKB2
NKX2-3	NKX2-3
NODAL	NODAL
NRP1	NRP1
P4HA1	P4HA1
PARD3	PARD3
PCGF5	PCGF5
PDZD8	PDZD8
PIK3AP1	PIK3AP1
PPP2R2D	PPP2R2D
PPP3CB	PPP3CB
PPRC1	PPRC1
PRKG1	PRKG1
PSAP	PSAP
PSD	PSD
RAB11FIP2	RAB11FIP2
RAB18	RAB18
RASGEF1A	RASGEF1A
RBM17	RBM17
RBM20	RBM20
RET	RET
SCD	SCD
SEC24C	SEC24C
SEPHS1	SEPHS1
SFMBT2	SFMBT2
SGMS1	SGMS1
