Chr	gene	all	syn	lof	lof_SNV	mis	Mis_MetaSVM	Mis_CADD15	Mis_CADD20	Mis_CADD30	Mis_MetaSVM_or_CADD15	Mis_MetaSVM_or_CADD20	Mis_MetaSVM_or_CADD30	SpliceSite	StopGain	StopLoss
1	OR4F5	1.18E-05	3.38E-06	5.07E-07	2.37E-07	7.87E-06	9.68E-08	4.40E-06	3.69E-06	0	4.41E-06	3.70E-06	9.68E-08	0	2.16E-07	2.07E-08
1	OR4F16	2.30E-05	6.32E-06	1.12E-06	5.20E-07	1.56E-05	2.58E-08	3.82E-06	2.97E-06	0	3.82E-06	2.97E-06	2.58E-08	0	4.79E-07	4.02E-08
1	OR4F29	2.30E-05	6.32E-06	1.12E-06	5.20E-07	1.56E-05	2.58E-08	3.82E-06	2.97E-06	0	3.82E-06	2.97E-06	2.58E-08	0	4.79E-07	4.02E-08
1	OR4F3	2.30E-05	6.32E-06	1.12E-06	5.20E-07	1.56E-05	2.58E-08	3.82E-06	2.97E-06	0	3.82E-06	2.97E-06	2.58E-08	0	4.79E-07	4.02E-08
1	SAMD11	5.12E-05	1.65E-05	3.54E-06	1.90E-06	3.12E-05	1.23E-06	2.16E-05	1.91E-05	2.02E-06	2.16E-05	1.91E-05	2.99E-06	5.75E-07	1.31E-06	1.70E-08
1	NOC2L	4.65E-05	1.41E-05	3.61E-06	2.07E-06	2.88E-05	2.58E-06	1.98E-05	1.75E-05	3.05E-06	1.98E-05	1.75E-05	4.54E-06	8.30E-07	1.23E-06	1.84E-08
1	KLHL17	5.39E-05	1.78E-05	3.04E-06	1.71E-06	3.31E-05	1.17E-05	2.98E-05	2.66E-05	2.83E-06	2.98E-05	2.68E-05	1.26E-05	6.26E-07	1.06E-06	2.12E-08
1	PLEKHN1	4.32E-05	1.35E-05	3.25E-06	1.84E-06	2.65E-05	1.06E-07	1.24E-05	1.00E-05	1.80E-07	1.24E-05	1.00E-05	2.86E-07	6.95E-07	1.13E-06	2.18E-08
1	PERM1	4.95E-05	1.60E-05	2.49E-06	1.22E-06	3.11E-05	6.69E-07	1.07E-05	7.87E-06	5.40E-07	1.07E-05	7.87E-06	1.03E-06	1.85E-07	1.01E-06	1.97E-08
1	HES4	2.60E-05	9.08E-06	7.06E-07	3.75E-07	1.62E-05	4.58E-06	1.15E-05	8.74E-06	8.94E-07	1.18E-05	9.33E-06	4.85E-06	9.19E-08	2.65E-07	1.84E-08
