Chr	gene	all	syn	lof	lof_SNV	mis	Mis_MetaSVM	Mis_CADD15	Mis_CADD20	Mis_CADD30	Mis_MetaSVM_or_CADD15	Mis_MetaSVM_or_CADD20	SpliceSite	StopGain	StopLoss	Mis_mpc2	Mis_mpc2_and_MetaSVM	Mis_mpc2_or_MetaSVM
10	A1CF	2.79E-05	7.03E-06	3.90E-06	2.03E-06	1.70E-05	1.10E-06	1.53E-05	1.24E-05	6.15E-07	1.53E-05	1.24E-05	5.18E-07	1.49E-06	1.83E-08	0	0	1.10E-06
10	ABCC2	6.55E-05	1.73E-05	6.98E-06	3.97E-06	4.13E-05	2.10E-05	3.23E-05	2.66E-05	2.76E-06	3.25E-05	2.78E-05	1.53E-06	2.41E-06	1.97E-08	0	0	2.10E-05
10	ABI1	2.22E-05	5.48E-06	2.70E-06	1.51E-06	1.40E-05	6.71E-06	1.36E-05	1.28E-05	1.22E-06	1.36E-05	1.29E-05	5.48E-07	9.49E-07	1.33E-08	0	0	6.71E-06
10	ABLIM1	4.71E-05	1.20E-05	4.79E-06	2.77E-06	3.02E-05	6.32E-06	2.64E-05	2.41E-05	3.74E-06	2.64E-05	2.41E-05	1.14E-06	1.62E-06	1.35E-08	0	0	6.32E-06
10	ABRAXAS2	2.01E-05	5.83E-06	2.07E-06	1.20E-06	1.22E-05	0	1.13E-05	9.83E-06	8.15E-07	1.13E-05	9.83E-06	4.87E-07	6.97E-07	1.40E-08	0	0	0
10	ACADSB	1.77E-05	4.83E-06	1.82E-06	1.07E-06	1.10E-05	8.74E-06	8.69E-06	7.54E-06	4.06E-07	9.60E-06	9.25E-06	4.54E-07	5.96E-07	2.12E-08	0	0	8.74E-06
10	ACBD5	2.42E-05	6.56E-06	2.58E-06	1.46E-06	1.50E-05	3.50E-06	1.29E-05	1.06E-05	9.86E-07	1.29E-05	1.07E-05	5.49E-07	8.95E-07	1.84E-08	1.44E-06	3.26E-08	4.91E-06
10	ACBD7	4.11E-06	1.29E-06	4.27E-07	2.77E-07	2.39E-06	0	2.17E-06	1.80E-06	7.87E-08	2.17E-06	1.80E-06	1.36E-07	1.20E-07	2.07E-08	0	0	0
10	ACSL5	3.27E-05	9.26E-06	3.18E-06	1.93E-06	2.02E-05	2.40E-06	1.57E-05	1.30E-05	1.28E-06	1.57E-05	1.30E-05	9.09E-07	1.00E-06	1.91E-08	0	0	2.40E-06
10	ACSM6	1.95E-05	4.88E-06	1.97E-06	1.12E-06	1.27E-05	3.12E-08	7.92E-06	4.47E-06	3.62E-09	7.92E-06	4.47E-06	4.23E-07	6.77E-07	1.92E-08	0	0	3.12E-08
10	ACTA2	1.98E-05	5.21E-06	1.62E-06	9.43E-07	1.29E-05	1.28E-05	1.29E-05	1.28E-05	3.57E-06	1.29E-05	1.29E-05	3.87E-07	5.42E-07	1.38E-08	7.34E-06	7.34E-06	1.28E-05
10	ACTR1A	2.18E-05	5.82E-06	2.75E-06	1.55E-06	1.32E-05	1.00E-05	1.31E-05	1.28E-05	2.93E-06	1.31E-05	1.30E-05	5.76E-07	9.59E-07	1.39E-08	6.87E-06	5.31E-06	1.16E-05
10	ADAM12	5.00E-05	1.43E-05	4.50E-06	2.58E-06	3.12E-05	5.82E-06	2.29E-05	1.95E-05	1.65E-06	2.30E-05	1.95E-05	1.01E-06	1.53E-06	3.77E-08	0	0	5.82E-06
10	ADAM8	5.76E-05	1.40E-05	4.48E-06	2.64E-06	3.92E-05	0	2.03E-05	1.47E-05	1.81E-07	2.03E-05	1.47E-05	1.14E-06	1.46E-06	3.63E-08	0	0	0
10	ADAMTS14	7.31E-05	2.03E-05	6.29E-06	3.55E-06	4.65E-05	1.02E-05	3.86E-05	3.32E-05	4.49E-06	3.86E-05	3.33E-05	1.34E-06	2.19E-06	2.55E-08	0	0	1.02E-05
10	ADARB2	6.47E-05	2.22E-05	2.62E-06	1.47E-06	3.99E-05	1.69E-05	3.12E-05	2.48E-05	8.59E-07	3.19E-05	2.66E-05	5.33E-07	9.19E-07	1.97E-08	4.05E-06	1.60E-06	1.93E-05
10	ADD3	2.89E-05	7.00E-06	3.57E-06	1.93E-06	1.84E-05	3.85E-07	1.78E-05	1.62E-05	2.09E-06	1.78E-05	1.62E-05	5.98E-07	1.32E-06	1.39E-08	0	0	3.85E-07
10	ADGRA1	4.46E-05	1.58E-05	1.95E-06	1.03E-06	2.68E-05	5.95E-07	1.91E-05	1.49E-05	2.54E-08	1.91E-05	1.49E-05	2.76E-07	7.34E-07	2.24E-08	0	0	5.95E-07
10	ADIRF	4.04E-06	1.37E-06	3.42E-07	2.20E-07	2.33E-06	0	2.01E-06	1.35E-06	1.30E-07	2.01E-06	1.35E-06	9.43E-08	9.75E-08	2.84E-08	0	0	0
10	ADK	1.42E-05	3.76E-06	1.45E-06	9.17E-07	9.03E-06	5.08E-06	8.77E-06	7.81E-06	5.96E-07	8.78E-06	7.85E-06	4.71E-07	4.25E-07	2.18E-08	0	0	5.08E-06
10	ADO	2.49E-05	8.58E-06	1.19E-06	5.40E-07	1.51E-05	8.14E-07	1.38E-05	1.11E-05	1.35E-06	1.38E-05	1.11E-05	0	5.23E-07	1.69E-08	2.82E-07	6.49E-08	1.03E-06
10	ADRA2A	4.85E-05	1.74E-05	1.33E-06	6.02E-07	2.98E-05	3.40E-06	2.40E-05	1.99E-05	1.83E-06	2.40E-05	1.99E-05	0	5.83E-07	1.93E-08	0	0	3.40E-06
10	ADRB1	5.09E-05	1.87E-05	1.20E-06	5.46E-07	3.10E-05	3.59E-06	2.54E-05	2.05E-05	2.19E-06	2.54E-05	2.05E-05	0	5.25E-07	2.07E-08	0	0	3.59E-06
10	AFAP1L2	4.84E-05	1.47E-05	3.98E-06	2.52E-06	2.97E-05	8.52E-07	2.27E-05	1.91E-05	1.28E-06	2.27E-05	1.91E-05	1.32E-06	1.17E-06	2.07E-08	0	0	8.52E-07
10	AGAP11	2.94E-05	8.52E-06	2.37E-06	1.28E-06	1.85E-05	0	2.14E-08	0	0	2.14E-08	0	3.80E-07	8.77E-07	2.17E-08	0	0	0
10	AGAP4	3.52E-05	9.61E-06	2.94E-06	1.61E-06	2.26E-05	9.56E-07	1.35E-05	3.12E-06	3.03E-08	1.36E-05	3.72E-06	5.15E-07	1.07E-06	2.19E-08	0	0	9.56E-07
10	AGAP5	3.54E-05	1.01E-05	2.78E-06	1.50E-06	2.25E-05	5.85E-07	1.31E-05	2.67E-06	2.87E-08	1.31E-05	3.15E-06	4.43E-07	1.03E-06	2.19E-08	0	0	5.85E-07
